Ministry/Sector,Agency/Dept,Service Name,Description,Simple Service Name,Simple Description,Service Category,Access Method,Online Platform,Required Documents,Processing Time,Cost,Eligibility,Contact/Link,Deep Link to Service,Has Online Form?,Form Type,Form URL,Has PDF Form?,PDF Form URL,Form Submission Method,Notes/Research Status
Interior,NIMC,NIN Pre-Enrolment,Online pre-enrolment for National Identification Number with appointment booking,Register for your National ID online,Start the NIN registration process online with an appointment booking.,Registration,Online,penrol.nimc.gov.ng,"Email, Valid ID scan",5-30 days,Free,Nigerian citizens/residents,www.nimc.gov.ng,https://penrol.nimc.gov.ng,Yes,Web Form,https://penrol.nimc.gov.ng,No,,Online - Direct,✅ Verified
Interior,NIMC,NIN Enrolment (Biometric),Biometric capture and NIN issuance at enrollment centers,Enroll for your NIN with fingerprints,Visit a registration center to complete your NIN registration with biometric data.,Registration,Offline,NIMC Centers nationwide,"Birth cert, ID, Passport, supporting docs",7-14 days,Free,All citizens/residents,www.nimc.gov.ng,,,,,,,,
Interior,NIMC,NIN Retrieval,Retrieve NIN if already enrolled via online portal or USSD,Find your NIN number,Look up your NIN online if you already registered but need to retrieve it.,Information,Online/USSD,portal.nimc.gov.ng or *346#,NIN or registered phone,Instant,Free,Enrolled citizens,www.nimc.gov.ng,https://portal.nimc.gov.ng,Yes,Web Form,https://portal.nimc.gov.ng,No,,Online - Direct,✅ Verified
Interior,NIMC,NIN Record Modification,"Update personal details (name, address, DOB) online",Update your NIN information,Change your details in your NIN record like address or name.,Registration,Online,selfservicemodification.nimc.gov.ng,"Valid NIN, supporting docs for change",3-7 days,"₦500-₦5,000",NIN holders,selfservicemodification.nimc.gov.ng,https://selfservicemodification.nimc.gov.ng,Yes,Web Form,https://selfservicemodification.nimc.gov.ng,No,,Online - Direct,✅ Verified
Interior,NIMC,e-ID Card Issuance,Physical smart card linked to NIN for digital verification,Get your digital ID card,Collect a smart card linked to your NIN for easier government services.,Registration,Offline,NIMC Centers,"Valid NIN, personal visit",14-30 days,"₦2,000-₦5,000",NIN holders,www.nimc.gov.ng,https://portal.nimc.gov.ng,Yes,Web Form,https://portal.nimc.gov.ng,No,,Online - Appointment,⏳ Needs Verification
Interior,NIMC,Digital ID Service (NINAUTH App),Mobile app for digital identity verification and services,Find information about digital id service (ninauth app),Learn about digital id service (ninauth app) and how it can help you.,Information,Online,NINAUTH App (iOS/Android),"NIN, Email",Instant,Free,NIN holders,NINAUTH App,,,,,,,,
Interior,NIS,Passport Application,Apply for Nigerian international travel passport,Apply for a passport,Get an official international travel document from the government.,Licensing,Online/Offline,www.immigration.gov.ng,"Birth cert, ID, marriage cert, photos, travel history",2-4 weeks,"₦50,000-₦100,000",Nigerian citizens,www.immigration.gov.ng,https://www.immigration.gov.ng/services/passport,Yes,Hybrid,https://www.immigration.gov.ng/services/passport,Yes,https://www.immigration.gov.ng (Forms),Online Appointment + In-Person,✅ Verified
Interior,NIS,Passport Renewal,Renew expired Nigerian passport,Renew your passport,Replace your expired passport so you can continue traveling internationally.,Licensing,Online/Offline,www.immigration.gov.ng,"Expired passport, photos, ID",2-4 weeks,"₦50,000-₦100,000",Citizens with expired passport,www.immigration.gov.ng,,,,,,,,
Interior,NIS,Visa Issuance,"Obtain visa for travel to other countries (UK, US, Schengen, etc)",Get a visa to visit other countries,"Obtain permission to travel to other countries like the UK, US, or Schengen zone.",Licensing,Offline,Embassy/Visa Centers,"Passport, invitation, bank statements, flight bookings",Varies by country (2-8 weeks),"₦20,000-₦200,000+",Nigerian citizens,www.immigration.gov.ng,https://www.immigration.gov.ng/services/visas,Partial,PDF Form + Online Appointment,https://portal.immigration.gov.ng/,Yes,https://www.immigration.gov.ng/visa-forms,Online Appointment Booking + In-Person,Varies by visa type
Interior,NIS,Travel Permit,Obtain travel permit for citizens unable to obtain passport immediately,Get a travel permit,Get temporary travel permission if you cannot get a passport immediately.,Licensing,Offline,NIS Offices,"ID, birth cert, travel docs",1-3 days,"₦10,000-₦15,000",Nigerian citizens,www.immigration.gov.ng,https://www.immigration.gov.ng/services/travel-permit,Yes,Hybrid,https://www.immigration.gov.ng/services/travel-permit/apply,Yes,https://www.immigration.gov.ng/forms/travel-permit-form.pdf,Online + Office Collection,✅ Verified
Interior,FRSC,Driver's License Issuance,Apply for driving license for first time,Get a driving license,Prove your qualifications to legally drive a car in Nigeria.,Licensing,Online/Offline,FRSC Offices nationwide,"NIN, ID, birth cert, vision test, photos",3-5 days,"₦5,000-₦10,000",Nigerian citizens 18+,www.frsc.gov.ng,,,,,,,,
Interior,FRSC,Driver's License Renewal,Renew expired driving license,Renew your driving license,Update your driving license when it expires.,Licensing,Online/Offline,FRSC Offices,"Expired license, NIN, vision test, photos",3-5 days,"₦5,000-₦10,000",License holders,www.frsc.gov.ng,,,,,,,,
Interior,FRSC,Vehicle Registration,Register vehicle with FRSC for road use,Register your vehicle,Officially record your car with the government so you can legally drive it.,Licensing,Offline,FRSC Offices,"Vehicle documents, NIN, ownership proof, insurance",2-5 days,"₦5,000-₦20,000",Vehicle owners,www.frsc.gov.ng,https://www.frsc.gov.ng/services/vehicle-registration,Yes,Hybrid,https://www.frsc.gov.ng/services/vehicle-registration/apply,Yes,https://www.frsc.gov.ng/downloads/vehicle_reg_form.pdf,Online + Inspection,✅ Verified
Interior,FRSC,Vehicle Roadworthiness Certificate,Test and certify vehicle roadworthiness for annual renewal,Get your vehicle safety certificate,Prove your car is safe for road use.,Certification,Offline,FRSC Testing Centers,"Vehicle, insurance, registration",1-2 days,"₦3,000-₦5,000",Vehicle owners,www.frsc.gov.ng,,,,,,,,
Interior,FRSC,Traffic Violation Payment,Pay traffic tickets online,Pay your traffic fine,Settle a traffic ticket through the official payment system.,Payment,Online,www.frsc.gov.ng,Ticket number,Instant,Varies by violation,Traffic violators,www.frsc.gov.ng,,,,,,,,
Finance,FIRS,Tax Registration (TIN),Register for Tax Identification Number,Get your tax number,Register with the tax office to file taxes and do business.,Registration,Online,ecitizen.firs.gov.ng,"CAC cert, ID, address proof",1-3 days,Free,Individuals/Businesses,ecitizen.firs.gov.ng,,,,,,,,
Finance,FIRS,Tax Return Filing,File monthly or annual tax returns online,Report your income to the government,File your taxes online to tell the government how much you earned.,Compliance,Online,efiling.itas.firs.gov.ng,"TIN, financial statements, invoices",Real-time submission,Free,Taxpayers with TIN,efiling.itas.firs.gov.ng,https://efiling.itas.firs.gov.ng,Yes,Web Form,https://efiling.itas.firs.gov.ng,No,,Online - Direct,✅ Verified
